seq id	hmm name	type	bit score	E-value	significance	clan	Family ID	
argr|16131127|b3237	Arg_repressor	Domain	89.9	5.30E-26	1	CL0123	1	
ihfa|16129668|b1712	Bac_DNA_binding	Domain	102.8	7.50E-30	1	CL0548	2	
dnaa|16131570|b3702	Bac_DnaA_C	Domain	118.1	1.10E-34	1	CL0123	3	
crp|16131236|b3357	Crp	Domain	54.8	4.30E-15	1	CL0123	4	Crp
fnr|16129295|b1334	Crp	Domain	54.8	4.40E-15	1	CL0123	4
crp_1|16131236|b3357	HTH_Crp_2	Domain	54.8	4.30E-15	1	CL0123	4	Crp
fnr_1|16129295|b1334	HTH_Crp_2	Domain	54.8	4.40E-15	1	CL0123	4	
mntr|16128785|b0817	Fe_dep_repress	Domain	40.9	1.30E-10	1	CL0123	5	
mlc|16129552|b1594	Fe_dep_repress	Domain	16.2	7.30E-03	0	CL0123	5	
flhd|145698279|b1892	FlhD	Family	151.8	4.70E-45	1	No_clan	6	
fur|16128659|b0683	FUR	Family	164.8	6.30E-49	1	CL0123	7	
pdhr|16128106|b0113	GntR	Family	88.5	1.30E-25	1	CL0123	8	GntR-like Tfs
uxur|16132145|b4324	GntR	Family	80.8	3.50E-23	1	CL0123	8	
exur|90111537|b3094	GntR	Family	78.8	1.40E-22	1	CL0123	8	
nanr|49176329|b3226	GntR	Family	73.1	8.70E-21	1	CL0123	8	
fadr|16129150|b1187	GntR	Family	70.6	5.10E-20	1	CL0123	8	
hns|16129198|b1237	Histone_HNS	Family	70.2	1.50E-19	1	No_clan	9	
gcva|16130715|b2808	HTH_1	Domain	78.7	1.90E-22	1	CL0123	10	LysR-type Tfs
nac|16129930|b1988	HTH_1	Domain	76.4	9.60E-22	1	CL0123	10	
oxyr|16131799|b3961	HTH_1	Domain	75.4	2.10E-21	1	CL0123	10	
argp|16130817|b2916	HTH_1	Domain	68.4	3.00E-19	1	CL0123	10	
leuo|90111083|b0076	HTH_1	Domain	64.7	4.40E-18	1	CL0123	10	
metr|16131677|b3828	HTH_1	Domain	60.4	1.00E-16	1	CL0123	10	
nhar|16128014|b0020	HTH_1	Domain	57.1	1.10E-15	1	CL0123	10	
cysb|16129236|b1275	HTH_1	Domain	56.6	1.50E-15	1	CL0123	10	
ttdr|16130956|b3060	HTH_1	Domain	56.6	1.50E-15	1	CL0123	10	
mode|16128729|b0761	HTH_1	Domain	28.1	1.20E-06	1	CL0123	10	
dcur|16131950|b4124	HTH_11	Domain	11.9	1.30E-01	0	CL0123	11	
rhas|16131745|b3905	HTH_18	Domain	90	7.30E-26	1	CL0123	12	AraC-type TF
soxs|16131888|b4062	HTH_18	Domain	83.8	6.50E-24	1	CL0123	12	
rob|16132213|b4396	HTH_18	Domain	71.6	4.00E-20	1	CL0123	12	
mara|90111290|b1531	HTH_18	Domain	69.8	1.50E-19	1	CL0123	12	
xylr|16131440|b3569	HTH_18	Domain	67.8	6.50E-19	1	CL0123	12	
melr|16131944|b4118	HTH_18	Domain	67.6	7.10E-19	1	CL0123	12	
arac|16128058|b0064	HTH_18	Domain	67.6	7.60E-19	1	CL0123	12	
gadx|16131388|b3516	HTH_18	Domain	58.5	5.10E-16	1	CL0123	12	
ada|16130150|b2213	HTH_18	Domain	56.9	1.60E-15	1	CL0123	12	
gadw|16131387|b3515	HTH_18	Domain	45.5	6.00E-12	1	CL0123	12	
mqsa|16130917|b3021	HTH_19	Domain	21.6	1.60E-04	0	CL0123	13	
lrp|16128856|b0889	HTH_24	Domain	73.4	6.60E-21	1	CL0123	14	
hipb|16129467|b1508	HTH_3	Domain	53.9	1.10E-14	1	CL0123	15	
glng|16131708|b3868	HTH_8	Domain	54.6	5.30E-15	1	CL0123	16	
fis|16131149|b3261	HTH_8	Domain	53.4	1.30E-14	1	CL0123	16	
fhla|16130638|b2731	HTH_8	Domain	22.4	6.30E-05	1	CL0123	16	
asnc|16131611|b3743	HTH_AsnC-type	Domain	49	2.90E-13	1	CL0123	17	
glpr|16131297|b3423	HTH_DeoR	Domain	89.8	5.70E-26	1	CL0123	18	DeoR Type Tfs
agar|16131023|b3131	HTH_DeoR	Domain	73.7	5.80E-21	1	CL0123	18	
ular|16132013|b4191	HTH_DeoR	Domain	72	2.10E-20	1	CL0123	18	
deor|16128808|b0840	HTH_DeoR	Domain	53.9	9.10E-15	1	CL0123	18	
iclr|90111675|b4018	HTH_IclR	Domain	67.1	6.90E-19	1	CL0123	19
iclr|90111675|b4018	IclR	Domain	67.1	6.90E-19	1	CL0123	19	
tyrr|16129284|b1323	HTH_Tnp_ISL3	Domain	11.7	1.00E-01	0	CL0123	20	
ascg|345452722|b2714	LacI	Domain	74.9	2.60E-21	1	CL0123	21	LacI Type Tfs
gals|16130089|b2151	LacI	Domain	74.6	3.10E-21	1	CL0123	21	
purr|16129616|b1658	LacI	Domain	73.4	7.70E-21	1	CL0123	21	
galr|16130741|b2837	LacI	Domain	72.7	1.30E-20	1	CL0123	21	
cytr|16131772|b3934	LacI	Domain	68.3	2.90E-19	1	CL0123	21	
cra|16128073|b0080	LacI	Domain	65.3	2.70E-18	1	CL0123	21	
gntr|49176356|b3438	LacI	Domain	63.2	1.20E-17	1	CL0123	21	
lexa|16131869|b4043	LexA_DNA_bind	Domain	108.1	1.10E-31	1	CL0123	22	
narp|16130130|b2193	GerE	Domain	85.7	9.30E-25	1	CL0123	23	GreE like Tfs
narl|16129184|b1221	GerE	Domain	78.7	1.40E-22	1	CL0123	23	
evga|16130301|b2369	GerE	Domain	76.2	8.50E-22	1	CL0123	23	
csgd|16129003|b1040	GerE	Domain	70.8	4.20E-20	1	CL0123	23	
malt|16131294|b3418	GerE	Domain	69.5	1.00E-19	1	CL0123	23	
rcsa|16129898|b1951	GerE	Domain	66.9	6.90E-19	1	CL0123	23	
rcsb|16130154|b2217	GerE	Domain	66	1.20E-18	1	CL0123	23	
gade|16131384|b3512	GerE	Domain	23.9	1.80E-05	1	CL0123	23	
